Name,Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
Patrick Patterson,PF,6.05,1.69,0.98,0.56,1.12,9.7,0.42,0.35,0.48,1.0
Markieff Morris,PF,7.55,3.48,1.31,0.73,3.48,16.84,0.4,0.29,0.42,0.72
Ryan Kelly,PF,9.34,1.65,1.1,0.82,1.37,11.54,0.37,0.1,0.45,0.67
Willie Reed,PF,10.24,0.99,0.66,2.64,1.32,15.52,0.56,0.0,0.56,0.57
Nikola Mirotic,PF,7.95,2.17,1.3,1.01,2.17,17.06,0.41,0.38,0.42,0.81
Carl Landry,PF,9.34,2.05,0.68,0.68,1.37,22.33,0.57,0.5,0.56,0.76
David Lee,PF,14.57,2.5,0.83,1.25,2.29,17.69,0.63,0.0,0.63,0.71
Josh Smith,PF,5.7,4.13,1.38,1.18,3.15,12.98,0.34,0.27,0.41,0.45
Meyers Leonard,PF,8.38,2.47,0.16,0.49,2.14,13.81,0.45,0.38,0.53,0.75
Jon Leuer,PF,10.78,2.12,1.16,0.77,2.12,16.36,0.47,0.38,0.51,0.73
Josh Smith,PF,9.82,3.27,1.51,2.77,3.27,14.35,0.39,0.33,0.42,0.62
Kevin Love,PF,11.31,2.74,0.91,0.57,2.06,18.29,0.42,0.37,0.47,0.83
Trey Lyles,PF,7.7,1.46,0.62,0.42,1.66,12.69,0.44,0.38,0.46,0.7
Jarell Martin,PF,8.17,1.53,0.77,0.77,1.79,14.55,0.47,0.0,0.48,0.74
Luc Mbah a Moute,PF,4.87,0.85,1.27,0.64,1.06,6.56,0.46,0.4,0.5,0.5
Chris McCullough,PF,6.68,0.95,2.86,1.19,1.43,11.21,0.4,0.36,0.42,0.5
Mike Scott,PF,6.35,2.35,0.71,0.47,1.41,14.59,0.46,0.38,0.52,0.88
Luis Scola,PF,7.87,1.51,1.0,0.67,1.51,14.57,0.44,0.43,0.47,0.73
Josh McRoberts,PF,6.34,4.82,1.01,0.51,1.77,9.13,0.37,0.25,0.42,0.7
Paul Millsap,PF,9.91,3.63,1.98,1.87,2.64,18.83,0.47,0.31,0.51,0.76
Thomas Robinson,PF,14.23,1.67,1.4,1.4,2.79,12.0,0.44,0.0,0.44,0.47
JaMychal Green,PF,9.34,1.75,1.17,0.78,2.14,14.4,0.46,0.33,0.48,0.72
Quincy Acy,PF,7.78,1.22,1.22,0.97,1.22,12.65,0.56,0.37,0.61,0.67
Draymond Green,PF,9.86,7.68,1.56,1.45,3.32,14.52,0.5,0.38,0.54,0.68
Trevor Booker,PF,9.91,1.91,1.22,0.87,1.74,10.26,0.49,0.4,0.52,0.69
Taj Gibson,PF,9.37,2.04,0.82,1.49,1.49,11.68,0.53,0.0,0.53,0.7
Nick Collison,PF,8.85,2.75,0.92,0.92,2.44,6.41,0.44,0.0,0.44,0.67
Ryan Anderson,PF,7.11,1.3,0.71,0.47,1.66,20.13,0.43,0.37,0.46,0.86
Nemanja Bjelica,PF,7.04,2.82,0.8,0.8,1.61,10.26,0.46,0.38,0.56,0.78
Channing Frye,PF,6.74,2.11,1.05,1.05,1.47,10.95,0.43,0.39,0.53,0.8
Darrell Arthur,PF,6.97,2.32,1.33,1.16,1.49,12.44,0.46,0.35,0.47,0.75
Anthony Davis,PF,10.45,1.93,1.32,2.03,2.03,24.64,0.49,0.33,0.51,0.76
Ed Davis,PF,12.81,1.9,1.21,1.56,1.38,11.25,0.6,0.0,0.6,0.56
Luol Deng,PF,6.67,2.11,1.11,0.44,1.22,13.67,0.46,0.34,0.52,0.77
Derrick Favors,PF,9.11,1.69,1.35,1.69,1.91,18.45,0.51,0.0,0.52,0.71
Kenneth Faried,PF,12.38,1.71,0.71,1.28,1.99,17.79,0.56,0.0,0.56,0.61
Boris Diaw,PF,6.13,4.55,0.59,0.59,2.57,12.66,0.54,0.33,0.56,0.7
Brandon Bass,PF,7.63,1.95,0.89,1.42,1.06,12.77,0.54,0.0,0.54,0.86
Jared Dudley,PF,4.86,2.92,1.25,0.28,1.39,10.98,0.48,0.41,0.52,0.75
Chris Bosh,PF,7.95,2.58,0.75,0.64,1.61,20.53,0.47,0.36,0.5,0.78
Drew Gooden,PF,9.88,1.41,1.06,1.41,1.41,9.53,0.32,0.14,0.43,0.6
Kevin Garnett,PF,9.62,3.95,1.73,0.74,0.99,7.89,0.47,0.0,0.47,0.67
Aaron Gordon,PF,9.79,2.41,1.21,1.05,1.21,13.86,0.47,0.28,0.54,0.68
Lavoy Allen,PF,9.62,1.78,0.53,0.89,1.6,9.62,0.51,0.0,0.51,0.67
LaMarcus Aldridge,PF,10.0,1.76,0.59,1.29,1.53,21.18,0.51,0.0,0.52,0.85
Norris Cole,PG,4.6,5.01,1.08,0.14,2.3,14.35,0.41,0.3,0.42,0.86
Terry Rozier,PG,7.2,4.05,0.9,0.0,2.25,8.1,0.26,0.29,0.3,0.67
Damian Lillard,PG,4.03,6.86,0.91,0.4,3.23,25.31,0.42,0.38,0.45,0.89
Emmanuel Mudiay,PG,4.03,6.51,1.18,0.59,3.79,15.16,0.36,0.32,0.38,0.68
Ricky Rubio,PG,5.06,10.24,2.47,0.12,2.94,11.88,0.38,0.32,0.4,0.85
Matthew Dellavedova,PG,3.07,6.44,0.88,0.15,2.2,10.98,0.4,0.42,0.39,0.89
